motion_id,mean_intra_caption_sim,num_captions
M012325,0.49863123893737793,3
M008792,0.49886420369148254,3
008241,0.4989602863788605,3
M008241,0.499139666557312,3
011040,0.49918222427368164,2
002917,0.4993113577365875,3
M002917,0.4993113577365875,3
M012688,0.49938592314720154,3
012688,0.49938592314720154,3
000344,0.49939870834350586,3
003981,0.499759703874588,3
013661,0.4999038279056549,3
006162,0.49991998076438904,3
M010458,0.5000435709953308,3
M013705,0.5000651478767395,3
M003266,0.5001079440116882,3
010458,0.50071781873703,3
004878,0.5008484125137329,3
013367,0.5009718537330627,3
M006575,0.5012940764427185,3
012547,0.5013752579689026,3
013439,0.5013839602470398,3
M013367,0.5014987587928772,3
M013439,0.5015016198158264,3
M002202,0.5015274882316589,3
003512,0.5016180872917175,3
M006951,0.5017455220222473,3
M009793,0.5019342303276062,3
M012547,0.5020246505737305,3
001150,0.5021354556083679,3
M009073,0.5021790266036987,3
009116,0.5022234916687012,3
M009116,0.5022234916687012,3
M003981,0.5022261738777161,3
M006350,0.5023928284645081,3
013248,0.5024178624153137,3
008132,0.5024872422218323,3
M008132,0.5024873614311218,3
M003512,0.5026389956474304,3
001713,0.502662181854248,3
M009631,0.5026834011077881,3
006941,0.5027783513069153,3
M006162,0.5027883052825928,3
M001713,0.5028121471405029,3
008635,0.5028888583183289,3
M003317,0.5029995441436768,3
003317,0.5029995441436768,3
000136,0.5032131671905518,3
M000136,0.5032131671905518,3
003429,0.5034012794494629,3
M007793,0.5034189820289612,3
007793,0.5034191012382507,3
M006863,0.5034900903701782,3
009615,0.5035039782524109,3
M009615,0.5035040974617004,3
M001680,0.5035251379013062,3
M000853,0.5035366415977478,3
000853,0.5035366415977478,3
M013248,0.5036353468894958,3
M007209,0.5038710236549377,3
M004659,0.5039610862731934,3
004659,0.5039610862731934,3
007996,0.5039641857147217,3
012471,0.5041556358337402,3
M012471,0.504155695438385,3
M003093,0.5043782591819763,3
003093,0.5043783187866211,3
009073,0.5045469403266907,3
010715,0.5047370791435242,3
M006941,0.5049605965614319,3
010129,0.5051946640014648,3
M009831,0.5053673386573792,3
009831,0.5053673386573792,3
011659,0.5054331421852112,3
006156,0.505476713180542,3
M006156,0.505476713180542,3
007209,0.5055463910102844,3
006569,0.505588948726654,3
M006569,0.505588948726654,3
M003429,0.5057039856910706,3
005391,0.5058385133743286,3
008237,0.5059875845909119,3
M005831,0.5059900879859924,3
000957,0.5060430765151978,2
M001277,0.5061373114585876,3
002088,0.5062224268913269,3
009061,0.5064516663551331,3
008780,0.5065019726753235,3
009631,0.5065348744392395,3
000313,0.5066330432891846,3
M005391,0.506665825843811,3
001277,0.5066834092140198,3
M012660,0.5067120790481567,3
010631,0.507063627243042,3
M010631,0.507063627243042,3
M012116,0.5070701241493225,3
012116,0.5070701241493225,3
M013116,0.5071670413017273,3
013116,0.5071670413017273,3
M000313,0.5072144865989685,3
M001672,0.5075171589851379,3
005519,0.5075991749763489,3
M013731,0.5076526999473572,3
000252,0.5078423619270325,3
M009284,0.5079508423805237,3
005051,0.5080488324165344,3
006951,0.5081499218940735,3
M002505,0.508234441280365,3
012884,0.508238673210144,3
M010962,0.5085156559944153,3
010962,0.5085156559944153,3
008792,0.5085483193397522,3
008124,0.5086641907691956,3
M006306,0.5086802244186401,3
M007990,0.5086905360221863,3
007990,0.5086905360221863,3
M008906,0.508751392364502,3
M007996,0.5091058611869812,3
M008237,0.5092533230781555,3
012881,0.5095099806785583,3
005755,0.5095607042312622,3
M012927,0.5095887184143066,3
M010866,0.5097218155860901,3
010866,0.5097218155860901,3
002505,0.5099255442619324,3
M006150,0.5099617838859558,3
M001143,0.5100411176681519,3
M008780,0.5101556181907654,3
M008134,0.5104748606681824,3
M000252,0.5104960799217224,3
M009061,0.5105171203613281,3
012660,0.5106229186058044,3
008906,0.5109485983848572,3
M010715,0.5111731886863708,3
006863,0.5111784338951111,3
003737,0.5115148425102234,3
007528,0.5116555094718933,3
009284,0.5117359757423401,3
M008124,0.5118021368980408,3
M009252,0.5118270516395569,3
M010466,0.5122396945953369,3
